id,name,domain,tech_op,idx_type,subline_tech_op
617,中阴线,股票,,TECH_SPECIAL,
618,大阴线,股票,,TECH_SPECIAL,
619,光脚阴线,股票,,TECH_SPECIAL,
620,光头阴线,股票,,TECH_SPECIAL,
621,光头光脚阴线,股票,,TECH_SPECIAL,
622,假阳线,股票,,TECH_SPECIAL,
611,光脚阳线,股票,,TECH_SPECIAL,
612,光头阳线,股票,,TECH_SPECIAL,
613,光头光脚阳线,股票,,TECH_SPECIAL,
614,阴线,股票,,TECH_SPECIAL,
615,小阴星,股票,,TECH_SPECIAL,
616,小阴线,股票,,TECH_SPECIAL,
644,lwr,股票,"[""上穿"",""下穿"",""卖出信号"",""高位金叉"",""拐头向下"",""顶背离"",""底背离"",""买入信号"",""二次金叉""]",TECH_LINES,"{""LWR2值"":[""低位"",""走平"",""拐头向下"",""下移"",""拐头向上"",""高位"",""上移""],""LWR1值"":[""低位"",""走平"",""拐头向下"",""下移"",""拐头向上"",""高位"",""上移""]}"
624,长上影线,股票,,TECH_SPECIAL,
625,上影线,股票,,TECH_SPECIAL,
626,长下影线,股票,,TECH_SPECIAL,
627,下影线,股票,,TECH_SPECIAL,
628,向上跳空缺口,股票,,TECH_SPECIAL,
629,向下跳空缺口,股票,,TECH_SPECIAL,
642,一阳五线,股票,,TECH_SPECIAL,
368,刺穿线,股票,,TECH_SPECIAL,
369,十字星,股票,,TECH_SPECIAL,
370,阳包阴,股票,,TECH_SPECIAL,
372,双飞乌鸦,股票,,TECH_SPECIAL,
635,pbx,股票,"[""卖出信号"",""多头排列"",""粘合"",""金叉""]",TECH_LINES,"{""PBX2值"":[""走平"",""拐头向下"",""下移"",""拐头向上"",""上移""],""PBX3值"":[""走平"",""拐头向下"",""下移"",""拐头向上"",""上移""],""PBX4值"":[""走平"",""拐头向下"",""下移"",""拐头向上"",""上移""],""PBX1值"":[""走平"",""拐头向下"",""下移"",""拐头向上"",""上移""],""PBX6值"":[""走平"",""拐头向下"",""下移"",""拐头向上"",""上移""],""PBX5值"":[""走平"",""拐头向下"",""下移"",""拐头向上"",""上移""]}"
374,旭日初升,股票,,TECH_SPECIAL,
725,平量,股票,,TECH_SPECIAL,
376,红三兵,股票,,TECH_SPECIAL,
379,鹤立鸡群,股票,,TECH_SPECIAL,
380,仙鹤神针,股票,,TECH_SPECIAL,
381,士兵突击,股票,,TECH_SPECIAL,
461,trix,股票,"[""低位金叉"",""低位"",""死叉"",""即将金叉"",""卖出信号"",""走平"",""下移"",""拐头向上"",""金叉"",""上移"",""即将死叉"",""高位死叉"",""高位"",""底背离"",""买入信号""]",TECH_LINES,"{""trix值"":[""走平"",""拐头向下"",""下移"",""拐头向上"",""上移""],""trma值"":[""走平"",""拐头向下"",""下移"",""拐头向上"",""上移""]}"
